IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.121.38,2082,0,false,SIN,Asia Pacific,Singapore,251,0.69
47.237.83.20,2096,2096,true,SIN,Asia Pacific,Singapore,268,0.69
47.237.121.38,2096,2096,true,SIN,Asia Pacific,Singapore,251,0.68
47.237.10.1,2096,2096,true,SIN,Asia Pacific,Singapore,256,0.68
47.237.82.15,8880,8880,false,SIN,Asia Pacific,Singapore,266,0.67
47.237.95.140,8880,0,false,SIN,Asia Pacific,Singapore,261,0.64
47.237.94.140,2086,0,false,SIN,Asia Pacific,Singapore,266,0.63
47.237.95.146,2082,2082,false,SIN,Asia Pacific,Singapore,262,0.57
47.237.83.20,2052,2052,false,SIN,Asia Pacific,Singapore,255,0.55
47.237.95.156,80,80,false,SIN,Asia Pacific,Singapore,263,0.40
47.238.50.221,80,443,true,SIN,Asia Pacific,Singapore,27,0.36
47.250.155.240,80,443,true,SIN,Asia Pacific,Singapore,161,0.33
47.237.125.8,2052,2052,false,SIN,Asia Pacific,Singapore,271,0.22
54.169.85.4,443,443,true,SIN,Asia Pacific,Singapore,58,0.22
47.76.106.86,80,443,true,SIN,Asia Pacific,Singapore,30,0.20
47.254.236.28,80,443,true,SIN,Asia Pacific,Singapore,97,0.10
47.245.86.230,8880,8880,false,SIN,Asia Pacific,Singapore,269,0.08
89.34.227.133,443,443,true,SIN,Asia Pacific,Singapore,247,0.02
47.76.245.164,80,443,true,SIN,Asia Pacific,Singapore,30,0.00
8.219.83.71,2096,2096,true,SIN,Asia Pacific,Singapore,65,0.00
8.222.165.117,8880,8880,false,SIN,Asia Pacific,Singapore,95,0.00
8.219.78.1,2086,2086,false,SIN,Asia Pacific,Singapore,133,0.00
8.219.117.198,2086,2086,false,SIN,Asia Pacific,Singapore,71,0.00
8.219.51.211,80,80,false,SIN,Asia Pacific,Singapore,59,0.00
8.222.156.242,2095,2095,false,SIN,Asia Pacific,Singapore,63,0.00
